UF;Cod_Infracao;Quantidade
ACRE;5002;8
ALAGOAS;5002;28
AMAZONAS;5002;103
AMAPA;5002;9
BAHIA;5002;261
CEARA;5002;78
DISTRITO FEDERAL;5002;159
ESPIRITO SANTO;5002;280
GOIAS;5002;434
MARANHAO;5002;39
MATO GROSSO;5002;297
MATO GROSSO DO SUL;5002;2021
MINAS GERAIS;5002;17930
PARA;5002;70
PARAIBA;5002;19
PARANA;5002;23056
PERNAMBUCO;5002;144
PIAUI;5002;23
RIO DE JANEIRO;5002;978
RIO GRANDE DO NORTE;5002;62
RIO GRANDE DO SUL;5002;11906
RONDONIA;5002;60
RORAIMA;5002;5
SANTA CATARINA;5002;10851
SAO PAULO;5002;53883
SERGIPE;5002;36
TOCANTINS;5002;40
ACRE;5010;544
ALAGOAS;5010;426
AMAZONAS;5010;631
AMAPA;5010;434
BAHIA;5010;2162
CEARA;5010;1759
DISTRITO FEDERAL;5010;3137
ESPIRITO SANTO;5010;1262
GOIAS;5010;2778
MARANHAO;5010;1093
MATO GROSSO;5010;1899
MATO GROSSO DO SUL;5010;1085
MINAS GERAIS;5010;10680
PARA;5010;1251
PARAIBA;5010;932
PARANA;5010;2462
PERNAMBUCO;5010;1506
PIAUI;5010;597
RIO DE JANEIRO;5010;3286
RIO GRANDE DO NORTE;5010;1136
RIO GRANDE DO SUL;5010;9740
RONDONIA;5010;1444
RORAIMA;5010;88
SANTA CATARINA;5010;2404
SAO PAULO;5010;11384
SERGIPE;5010;413
TOCANTINS;5010;274
ACRE;5029;6
ALAGOAS;5029;4
AMAZONAS;5029;11
BAHIA;5029;15
CEARA;5029;12
DISTRITO FEDERAL;5029;78
ESPIRITO SANTO;5029;127
GOIAS;5029;31
MARANHAO;5029;1
MATO GROSSO;5029;12
MATO GROSSO DO SUL;5029;66
MINAS GERAIS;5029;340
PARA;5029;6
PARAIBA;5029;26
PARANA;5029;231
PERNAMBUCO;5029;39
RIO DE JANEIRO;5029;153
RIO GRANDE DO NORTE;5029;4
RIO GRANDE DO SUL;5029;496
RONDONIA;5029;27
RORAIMA;5029;1
SANTA CATARINA;5029;561
SAO PAULO;5029;451
SERGIPE;5029;2
TOCANTINS;5029;2
ACRE;5037;16
ALAGOAS;5037;41
AMAZONAS;5037;55
AMAPA;5037;23
BAHIA;5037;108
CEARA;5037;97
DISTRITO FEDERAL;5037;121
ESPIRITO SANTO;5037;77
GOIAS;5037;126
MARANHAO;5037;59
MATO GROSSO;5037;53
MATO GROSSO DO SUL;5037;64
MINAS GERAIS;5037;835
PARA;5037;40
PARAIBA;5037;38
PARANA;5037;180
PERNAMBUCO;5037;81
PIAUI;5037;33
RIO DE JANEIRO;5037;242
RIO GRANDE DO NORTE;5037;38
RIO GRANDE DO SUL;5037;872
RONDONIA;5037;35
RORAIMA;5037;5
SANTA CATARINA;5037;89
SAO PAULO;5037;718
SERGIPE;5037;20
TOCANTINS;5037;7
ACRE;5045;322
ALAGOAS;5045;62
AMAZONAS;5045;151
AMAPA;5045;189
BAHIA;5045;779
CEARA;5045;823
DISTRITO FEDERAL;5045;2106
ESPIRITO SANTO;5045;380
GOIAS;5045;745
MARANHAO;5045;250
MATO GROSSO;5045;321
MATO GROSSO DO SUL;5045;446
MINAS GERAIS;5045;2583
PARA;5045;248
PARAIBA;5045;238
PARANA;5045;858
PERNAMBUCO;5045;523
PIAUI;5045;110
RIO DE JANEIRO;5045;908
RIO GRANDE DO NORTE;5045;257
RIO GRANDE DO SUL;5045;3365
RONDONIA;5045;391
RORAIMA;5045;23
SANTA CATARINA;5045;1205
SAO PAULO;5045;5091
SERGIPE;5045;140
TOCANTINS;5045;82
ACRE;5053;15
ALAGOAS;5053;16
AMAZONAS;5053;18
AMAPA;5053;4
BAHIA;5053;153
CEARA;5053;268
DISTRITO FEDERAL;5053;39
ESPIRITO SANTO;5053;32
GOIAS;5053;80
MARANHAO;5053;15
MATO GROSSO;5053;28
MATO GROSSO DO SUL;5053;49
MINAS GERAIS;5053;302
PARA;5053;52
PARAIBA;5053;45
PARANA;5053;88
PERNAMBUCO;5053;85
PIAUI;5053;18
RIO DE JANEIRO;5053;86
RIO GRANDE DO NORTE;5053;76
RIO GRANDE DO SUL;5053;136
RONDONIA;5053;34
RORAIMA;5053;10
SANTA CATARINA;5053;120
SAO PAULO;5053;228
SERGIPE;5053;19
TOCANTINS;5053;4
ACRE;5061;21
ALAGOAS;5061;15
AMAZONAS;5061;7
AMAPA;5061;4
BAHIA;5061;114
CEARA;5061;62
DISTRITO FEDERAL;5061;103
ESPIRITO SANTO;5061;35
GOIAS;5061;60
MARANHAO;5061;17
MATO GROSSO;5061;29
MATO GROSSO DO SUL;5061;29
MINAS GERAIS;5061;137
PARA;5061;28
PARAIBA;5061;33
PARANA;5061;73
PERNAMBUCO;5061;42
PIAUI;5061;11
RIO DE JANEIRO;5061;46
RIO GRANDE DO NORTE;5061;22
RIO GRANDE DO SUL;5061;113
RONDONIA;5061;49
RORAIMA;5061;8
SANTA CATARINA;5061;99
SAO PAULO;5061;362
SERGIPE;5061;14
TOCANTINS;5061;5
BAHIA;5070;1
DISTRITO FEDERAL;5070;2
ESPIRITO SANTO;5070;3
GOIAS;5070;2
MATO GROSSO DO SUL;5070;8
MINAS GERAIS;5070;5
PARA;5070;1
PARANA;5070;7
PERNAMBUCO;5070;1
RIO DE JANEIRO;5070;2
RIO GRANDE DO SUL;5070;23
RONDONIA;5070;2
SANTA CATARINA;5070;16
SAO PAULO;5070;9
AMAZONAS;5088;1
BAHIA;5088;4
CEARA;5088;7
DISTRITO FEDERAL;5088;4
ESPIRITO SANTO;5088;1
GOIAS;5088;7
MATO GROSSO;5088;2
MATO GROSSO DO SUL;5088;1
MINAS GERAIS;5088;10
PARA;5088;3
PARANA;5088;2
PERNAMBUCO;5088;1
PIAUI;5088;2
RIO DE JANEIRO;5088;8
RIO GRANDE DO SUL;5088;32
RONDONIA;5088;2
SANTA CATARINA;5088;5
SAO PAULO;5088;23
ACRE;5096;3
AMAZONAS;5096;4
